id,SalePrice
1461,208478.03125
1462,181479.1875
1463,223473.6875
1464,139989.359375
1465,249965.140625
1466,142985.0625
1467,306959.0625
1468,199976.65625
1469,129891.515625
1470,117995.578125
1471,129489.96875
1472,344950.875
1473,143984.859375
1474,279466.5625
1475,156988.390625
1476,131994.09375
1477,148988.890625
1478,89995.5
1479,158983.71875
1480,138990.5
1481,325253.0
1482,139392.5625
1483,229975.3125
1484,129893.15625
1485,153987.4375
1486,256271.875
1487,134792.15625
1488,305960.5
1489,207470.5625
1490,68505.078125
1491,40006.87109375
1492,149339.96875
1493,179882.96875
1494,165482.75
1495,277467.9375
1496,308955.53125
1497,144984.03125
1498,152991.953125
1499,108995.765625
1500,82002.125
1501,159986.6875
1502,169979.53125
1503,143987.453125
1504,130242.5625
1505,140992.78125
1506,319863.0625
1507,239650.625
1508,249669.75
1509,112999.875
1510,126992.7890625
1511,176980.375
1512,114498.625
1513,109996.71875
1514,384913.625
1515,129990.7421875
1516,180484.71875
1517,172489.78125
1518,196477.21875
1519,438720.96875
1520,124892.203125
1521,157983.75
1522,100998.265625
1523,202483.0625
1524,139988.25
1525,219472.140625
1526,316957.03125
1527,179973.5625
1528,225973.734375
1529,80004.40625
1530,224968.078125
1531,243972.90625
1532,129493.28125
1533,184979.390625
1534,144890.96875
1535,107396.625
1536,91001.9921875
1537,135742.0
1538,126992.234375
1539,136491.359375
1540,109993.765625
1541,193478.015625
1542,153493.671875
1543,244974.03125
1544,126492.96875
1545,168483.71875
1546,259963.875
1547,173980.28125
1548,164489.6875
1549,85006.078125
1550,123594.90625
1551,109894.9375
1552,98597.875
1553,163483.28125
1554,133886.78125
1555,204725.625
1556,184979.3125
1557,213975.703125
1558,94745.3828125
1559,82998.734375
1560,128939.46875
1561,204975.515625
1562,177982.59375
1563,118956.703125
1564,198879.34375
1565,169488.734375
1566,249974.328125
1567,99996.953125
1568,114997.9921875
1569,114996.046875
1570,189982.28125
1571,136886.125
1572,179981.28125
1573,383913.09375
1574,216972.0
1575,259466.734375
1576,175996.390625
1577,138993.28125
1578,154988.09375
1579,319947.53125
1580,163975.875
1581,179975.921875
1582,100000.21875
1583,135991.15625
1584,153889.015625
1585,180976.8125
1586,84505.0859375
1587,127995.6875
1588,87004.375
1589,154986.953125
1590,149988.859375
1591,225970.59375
1592,243968.3125
1593,150738.21875
1594,219976.875
1595,179982.328125
1596,173984.1875
1597,142990.21875
1598,170982.984375
1599,229972.46875
1600,231466.0
1601,114995.265625
1602,259964.90625
1603,165984.46875
1604,203977.90625
1605,124992.96875
1606,129995.6796875
1607,104998.2578125
1608,222474.09375
1609,140993.046875
1610,114993.7265625
1611,121991.4296875
1612,372351.625
1613,189977.171875
1614,234971.21875
1615,124992.8125
1616,79002.234375
1617,109494.25
1618,269464.5
1619,254865.890625
1620,319952.65625
1621,162484.609375
1622,412439.09375
1623,219975.125
1624,103201.34375
1625,151990.5
1626,127491.96875
1627,189977.03125
1628,325579.3125
1629,183481.0625
1630,227970.921875
1631,128491.09375
1632,214960.625
1633,238971.109375
1634,162990.25
1635,183978.3125
1636,242967.65625
1637,210975.0
1638,172481.125
1639,501764.375
1640,99998.4375
1641,176990.78125
1642,200079.40625
1643,119992.265625
1644,199974.125
1645,126991.609375
1646,474922.75
1647,172982.4375
1648,134990.25
1649,153326.125
1650,285966.25
1651,314955.1875
1652,183982.71875
1653,191980.515625
1654,129995.6875
1655,126994.3046875
1656,148491.015625
1657,311829.9375
1658,234971.8125
1659,103999.78125
1660,274866.1875
1661,139989.90625
1662,171482.03125
1663,111994.65625
1664,148992.5
1665,109997.640625
1666,180482.75
1667,143886.171875
1668,140985.84375
1669,276960.6875
1670,144991.0625
1671,98001.8984375
1672,185981.5
1673,252644.640625
1674,155982.375
1675,161735.765625
1676,134440.328125
1677,209978.90625
1678,106995.3125
1679,311458.5625
1680,167229.75
1681,204875.78125
1682,199976.859375
1683,179877.59375
1684,96994.53125
